model,language,label,f1,precision,recall
Logistic regression,amh,political,0.8059360730593608,0.8190255220417634,0.7932584269662921
Logistic regression,amh,racial/ethnic,0.5411764705882354,0.5139664804469274,0.5714285714285714
Logistic regression,amh,religious,0.25,0.6666666666666666,0.15384615384615385
Logistic regression,amh,gender/sexual,0.0,0.0,0.0
Logistic regression,amh,other,0.48648648648648646,0.45,0.5294117647058824
Logistic regression,arb,political,0.6278317152103561,0.60625,0.6510067114093959
Logistic regression,arb,racial/ethnic,0.5599999999999999,0.5426356589147286,0.5785123966942148
Logistic regression,arb,religious,0.4912280701754386,0.5185185185185185,0.4666666666666667
Logistic regression,arb,gender/sexual,0.4581005586592179,0.39805825242718446,0.5394736842105263
Logistic regression,arb,other,0.45791245791245794,0.39080459770114945,0.5528455284552846
Logistic regression,ben,political,0.7593818984547462,0.8,0.7226890756302521
Logistic regression,ben,racial/ethnic,0.0,0.0,0.0
Logistic regression,ben,religious,0.2857142857142857,0.4,0.2222222222222222
Logistic regression,ben,gender/sexual,0.0,0.0,0.0
Logistic regression,ben,other,0.27199999999999996,0.25757575757575757,0.288135593220339
Logistic regression,deu,political,0.5628318584070797,0.5096153846153846,0.6284584980237155
Logistic regression,deu,racial/ethnic,0.5259259259259259,0.4329268292682927,0.6698113207547169
Logistic regression,deu,religious,0.5034965034965037,0.46153846153846156,0.5538461538461539
Logistic regression,deu,gender/sexual,0.5185185185185185,0.42,0.6774193548387096
Logistic regression,deu,other,0.18930041152263374,0.1419753086419753,0.2839506172839506
Logistic regression,eng,political,0.644736842105263,0.5856573705179283,0.7170731707317073
Logistic regression,eng,racial/ethnic,0.4444444444444445,0.4262295081967213,0.4642857142857143
Logistic regression,eng,religious,0.47058823529411764,0.41379310344827586,0.5454545454545454
Logistic regression,eng,gender/sexual,0.1818181818181818,0.2,0.16666666666666666
Logistic regression,eng,other,0.20408163265306123,0.22727272727272727,0.18518518518518517
Logistic regression,fas,political,0.7659574468085106,0.752411575562701,0.78
Logistic regression,fas,racial/ethnic,0.4117647058823529,0.7,0.2916666666666667
Logistic regression,fas,religious,0.7313432835820896,0.7313432835820896,0.7313432835820896
Logistic regression,fas,gender/sexual,0.4680851063829787,0.4583333333333333,0.4782608695652174
Logistic regression,fas,other,0.6017191977077364,0.5645161290322581,0.6441717791411042
Logistic regression,hau,political,0.41071428571428575,0.323943661971831,0.5609756097560976
Logistic regression,hau,racial/ethnic,0.3934426229508197,0.34285714285714286,0.46153846153846156
Logistic regression,hau,religious,0.17142857142857143,0.12,0.3
Logistic regression,hau,gender/sexual,0.18181818181818182,0.25,0.14285714285714285
Logistic regression,hau,other,0.0,0.0,0.0
Logistic regression,hin,political,0.8318122555410691,0.8552278820375335,0.8096446700507615
Logistic regression,hin,racial/ethnic,0.672,0.8076923076923077,0.5753424657534246
Logistic regression,hin,religious,0.8916030534351146,0.8613569321533924,0.9240506329113924
Logistic regression,hin,gender/sexual,0.6379310344827587,0.5967741935483871,0.6851851851851852
Logistic regression,hin,other,0.44705882352941173,0.38,0.5428571428571428
Logistic regression,ita,racial/ethnic,0.5236768802228412,0.4292237442922374,0.6714285714285714
Logistic regression,ita,religious,0.6122448979591837,0.5232558139534884,0.7377049180327869
Logistic regression,ita,gender/sexual,0.6666666666666666,0.56,0.8235294117647058
Logistic regression,khm,political,0.7406015037593984,0.6840277777777778,0.8073770491803278
Logistic regression,khm,racial/ethnic,0.43137254901960786,0.55,0.3548387096774194
Logistic regression,khm,religious,0.37209302325581395,0.41025641025641024,0.3404255319148936
Logistic regression,khm,gender/sexual,0.3255813953488372,0.35,0.30434782608695654
Logistic regression,khm,other,0.8451327433628317,0.8188638799571275,0.8731428571428571
Logistic regression,mya,political,0.7539936102236421,0.7763157894736842,0.7329192546583851
Logistic regression,mya,racial/ethnic,0.37500000000000006,0.4090909090909091,0.34615384615384615
Logistic regression,mya,religious,0.4210526315789474,0.5714285714285714,0.3333333333333333
Logistic regression,mya,gender/sexual,0.5454545454545455,0.54,0.5510204081632653
Logistic regression,mya,other,0.7946257197696737,0.7811320754716982,0.80859375
Logistic regression,nep,political,0.6103896103896105,0.5875,0.6351351351351351
Logistic regression,nep,racial/ethnic,0.7142857142857143,0.7547169811320755,0.6779661016949152
Logistic regression,nep,religious,0.9428571428571428,0.9428571428571428,0.9428571428571428
Logistic regression,nep,gender/sexual,0.8363636363636364,0.8214285714285714,0.8518518518518519
Logistic regression,nep,other,0.45217391304347826,0.36619718309859156,0.5909090909090909
Logistic regression,ori,political,0.5844748858447488,0.5161290322580645,0.6736842105263158
Logistic regression,ori,racial/ethnic,0.39436619718309857,0.2978723404255319,0.5833333333333334
Logistic regression,ori,religious,0.44776119402985076,0.375,0.5555555555555556
Logistic regression,ori,gender/sexual,0.47058823529411764,0.4,0.5714285714285714
Logistic regression,ori,other,0.297029702970297,0.1875,0.7142857142857143
Logistic regression,pan,political,0.5480769230769231,0.5480769230769231,0.5480769230769231
Logistic regression,pan,racial/ethnic,0.39999999999999997,0.34285714285714286,0.48
Logistic regression,pan,religious,0.3921568627450981,0.5882352941176471,0.29411764705882354
Logistic regression,pan,gender/sexual,0.5633802816901409,0.6666666666666666,0.4878048780487805
Logistic regression,pan,other,0.32352941176470584,0.2894736842105263,0.36666666666666664
Logistic regression,pol,political,0.5833333333333334,0.5161290322580645,0.6706586826347305
Logistic regression,pol,racial/ethnic,0.38461538461538464,0.38461538461538464,0.38461538461538464
Logistic regression,pol,religious,0.09090909090909091,0.3333333333333333,0.05263157894736842
Logistic regression,pol,gender/sexual,0.25,0.3333333333333333,0.2
Logistic regression,pol,other,0.10909090909090909,0.11538461538461539,0.10344827586206896
Logistic regression,rus,political,0.5079365079365079,0.4897959183673469,0.5274725274725275
Logistic regression,rus,racial/ethnic,0.4363636363636364,0.3829787234042553,0.5070422535211268
Logistic regression,rus,religious,0.32653061224489793,0.27586206896551724,0.4
Logistic regression,rus,gender/sexual,0.42222222222222217,0.3275862068965517,0.59375
Logistic regression,rus,other,0.0,0.0,0.0
Logistic regression,spa,political,0.6211180124223602,0.6451612903225806,0.5988023952095808
Logistic regression,spa,racial/ethnic,0.46204620462046203,0.37037037037037035,0.6140350877192983
Logistic regression,spa,religious,0.5376344086021505,0.4437869822485207,0.6818181818181818
Logistic regression,spa,gender/sexual,0.7373737373737375,0.6576576576576577,0.8390804597701149
Logistic regression,spa,other,0.5714285714285715,0.5087719298245614,0.651685393258427
Logistic regression,swa,political,0.28125000000000006,0.32142857142857145,0.25
Logistic regression,swa,racial/ethnic,0.7879396984924624,0.8049281314168378,0.7716535433070866
Logistic regression,swa,religious,0.7741935483870969,0.8,0.75
Logistic regression,swa,gender/sexual,0.22535211267605634,0.27586206896551724,0.19047619047619047
Logistic regression,swa,other,0.19487179487179487,0.19791666666666666,0.1919191919191919
Logistic regression,tel,political,0.4492753623188406,0.36904761904761907,0.5740740740740741
Logistic regression,tel,racial/ethnic,0.45021645021645024,0.34210526315789475,0.6582278481012658
Logistic regression,tel,religious,0.2295081967213115,0.18666666666666668,0.2978723404255319
Logistic regression,tel,gender/sexual,0.37113402061855666,0.27906976744186046,0.5538461538461539
Logistic regression,tel,other,0.43564356435643564,0.3235294117647059,0.6666666666666666
Logistic regression,tur,political,0.7162162162162162,0.7194570135746606,0.7130044843049327
Logistic regression,tur,racial/ethnic,0.5405405405405406,0.5633802816901409,0.5194805194805194
Logistic regression,tur,religious,0.34146341463414637,0.4117647058823529,0.2916666666666667
Logistic regression,tur,gender/sexual,0.3157894736842105,0.46153846153846156,0.24
Logistic regression,tur,other,0.05405405405405406,0.1111111111111111,0.03571428571428571
Logistic regression,urd,political,0.8096828046744575,0.6802244039270687,1.0
Logistic regression,urd,racial/ethnic,0.7373447946513848,0.595679012345679,0.9674185463659147
Logistic regression,urd,religious,0.7252336448598131,0.5731166912850812,0.9872773536895675
Logistic regression,urd,gender/sexual,0.6966292134831461,0.6595744680851063,0.7380952380952381
Logistic regression,urd,other,0.6630727762803236,0.6814404432132964,0.6456692913385826
Logistic regression,zho,political,0.224,0.2028985507246377,0.25
Logistic regression,zho,racial/ethnic,0.5891891891891893,0.6337209302325582,0.5505050505050505
Logistic regression,zho,religious,0.36363636363636365,0.24489795918367346,0.7058823529411765
Logistic regression,zho,gender/sexual,0.45255474452554745,0.5254237288135594,0.3974358974358974
Logistic regression,zho,other,0.18852459016393444,0.13690476190476192,0.3026315789473684
