model,epoch,val_loss,val_f1_macro,thresholds
bert-base-uncased_1,1.0,0.42204520106315613,0.044444444444444446,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,2.0,0.4124754071235657,0.17982456140350878,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,3.0,0.41191866993904114,0.20547407019381878,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,4.0,0.4177747368812561,0.22564694249618925,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,5.0,0.4314058721065521,0.2571461889186631,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,5.0,0.4314058721065521,0.2571461889186631,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_1,5.0,0.3785541355609894,0.22321806712128853,"0.05,0.5,0.4,0.35000000000000003,0.1,0.15000000000000002"
bert-base-uncased_2,1.0,0.42073583602905273,0.11459431442828028,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,2.0,0.39933592081069946,0.2630096878754427,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,3.0,0.41014236211776733,0.30696082539447794,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,4.0,0.41432058811187744,0.3741248672694935,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,5.0,0.4230254590511322,0.39651622718052737,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,5.0,0.4230254590511322,0.39651622718052737,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_2,5.0,0.38379403948783875,0.3358898760907174,"0.35000000000000003,0.4,0.4,0.3,0.1,0.1"
bert-base-uncased_3,1.0,0.41238534450531006,0.19226512901159065,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,2.0,0.39692971110343933,0.2268537840909022,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,3.0,0.4209348261356354,0.298762869273349,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,4.0,0.4282497763633728,0.3599845643729911,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.43280908465385437,0.4019806522522895,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.43280908465385437,0.4019806522522895,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.39404627680778503,0.33129304668721343,"0.05,0.55,0.25,0.15000000000000002,0.15000000000000002,0.1"
bert-base-german-cased_1,1.0,0.48606228828430176,0.16987716626415947,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_1,2.0,0.4788723289966583,0.25987381480156274,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
